,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Data
225,Fortuna,40.6,-124.16,44.6,100,90,4.7,US,1605339467
226,Menongue,-14.66,17.69,67.59,86,98,2.46,AO,1605340023
227,Hargeisa,9.56,44.06,77.74,21,0,14.45,SO,1605340023
228,Paraúna,-16.95,-50.45,69.64,85,4,2.64,BR,1605339861
229,Kloulklubed,7.04,134.26,84.2,83,90,12.75,PW,1605340024
230,Bilma,18.69,12.92,74.77,26,0,20.76,NE,1605340024
231,Kapuskasing,49.42,-82.43,24.8,85,57,4.7,CA,1605340020
232,Necochea,-38.55,-58.74,61.0,94,100,1.01,AR,1605339494
233,Bonthe,7.53,-12.51,77.86,87,1,4.32,SL,1605340025
234,Salalah,17.02,54.09,84.2,48,20,6.93,OM,1605340025
235,Manono,-7.3,27.42,79.38,75,94,2.64,CD,1605340025
236,Rafai,4.95,23.92,83.3,44,99,4.97,CF,1605340025
237,Tyazhinskiy,56.12,88.52,25.48,93,97,4.68,RU,1605340026
238,Nanortalik,60.14,-45.24,27.05,87,100,13.47,GL,1605340026
239,Makakilo City,21.35,-158.09,77.0,73,20,5.82,US,1605340026
240,Mackay,-21.15,149.2,82.4,69,8,14.99,AU,1605340026
241,Garmsār,35.22,52.34,54.34,48,1,3.27,IR,1605340027
242,The Valley,18.22,-63.06,80.01,85,26,5.99,AI,1605339889
243,Inhambane,-23.86,35.38,80.6,51,40,3.36,MZ,1605340027
244,Rome,43.21,-75.46,42.8,81,90,6.93,US,1605339894
245,Mago,53.25,140.18,26.26,95,94,3.65,RU,1605340028
246,Maxixe,-23.86,35.35,80.6,51,40,3.36,MZ,1605340028
247,Merauke,-8.47,140.33,85.91,65,6,18.19,ID,1605340028
248,Malaya Purga,56.56,53.0,19.99,78,22,3.0,RU,1605340028
249,Glenwood Springs,39.55,-107.32,41.0,92,90,19.46,US,1605339888
250,Praia da Vitória,38.73,-27.07,64.99,82,20,8.03,PT,1605340029
251,Killarney,52.05,-9.52,51.8,87,75,12.75,IE,1605340011
252,Turukhansk,65.82,87.98,-12.55,90,99,2.73,RU,1605339536
253,Quang Ngai,15.12,108.8,71.96,86,100,22.26,VN,1605340029
254,Port-Cartier,50.03,-66.87,33.01,94,90,12.75,CA,1605340030
255,Antofagasta,-23.65,-70.4,60.8,67,90,8.05,CL,1605339759
256,Nemuro,43.32,145.57,41.0,75,75,6.93,JP,1605339803
257,Harper,4.38,-7.72,79.93,83,0,3.62,LR,1605340026
258,Clarence Town,-32.58,151.78,71.6,68,0,11.41,AU,1605340030
259,Norman Wells,65.28,-126.83,-16.6,75,40,3.36,CA,1605339451
260,Manutuke,-38.68,177.92,66.99,54,0,3.0,NZ,1605340031
261,Plettenberg Bay,-34.05,23.37,67.82,65,75,9.98,ZA,1605339468
262,San Patricio,28.02,-97.52,75.0,94,75,8.05,US,1605339478
263,Bud,39.45,-86.18,32.0,86,1,3.22,US,1605340031
264,Onega,63.91,38.14,35.64,85,100,8.81,RU,1605339479
265,Krasnosel'kup,65.7,82.47,-10.79,90,85,4.27,RU,1605340032
266,Kaitangata,-46.28,169.85,63.01,56,100,4.59,NZ,1605339538
267,Berlevåg,70.86,29.09,37.99,78,0,38.56,NO,1605339516
268,Moorhead,46.87,-96.77,30.99,80,1,18.34,US,1605340033
269,Alice Springs,-23.7,133.88,105.8,7,96,6.93,AU,1605339230
270,Healdsburg,38.61,-122.87,45.0,100,90,3.94,US,1605340033
271,Xining,36.62,101.77,57.69,32,46,2.37,CN,1605340033
272,Tura,25.52,90.22,81.1,59,0,3.04,IN,1605340034
273,Tazovsky,67.47,78.7,-6.68,91,62,6.93,RU,1605339583
274,Saint-Joseph,-21.37,55.62,77.0,78,90,13.87,RE,1605340034
275,Hualmay,-11.1,-77.61,60.49,87,45,6.51,PE,1605340034
276,Champerico,14.3,-91.92,64.0,97,2,3.94,GT,1605340034
277,Płock,52.55,19.71,37.4,100,93,5.82,PL,1605340035
278,Buraidah,26.33,43.98,68.0,60,0,11.41,SA,1605340035
279,Ilulissat,69.22,-51.1,17.6,72,97,9.17,GL,1605339465
280,Kahului,20.89,-156.47,75.2,69,20,12.75,US,1605339452
281,Flinders,-34.58,150.86,69.01,80,3,4.09,AU,1605339461
282,Bengkulu,-3.8,102.27,83.71,78,100,4.34,ID,1605339488
283,Khovd,48.01,91.64,39.61,57,31,3.58,MN,1605339453
284,Kemijärvi,66.71,27.43,34.38,89,87,8.86,FI,1605340036
285,Trairi,-3.28,-39.27,79.48,78,25,11.65,BR,1605340036
286,Constitución,-35.33,-72.42,51.89,79,70,9.48,CL,1605339356
287,Vestmannaeyjar,63.44,-20.27,36.19,82,10,18.99,IS,1605339445
288,Ferme-Neuve,46.7,-75.45,37.4,74,92,9.17,CA,1605340037
289,Smirnykh,49.75,142.83,29.14,95,13,5.86,RU,1605340037
290,Sobolevo,54.43,31.9,30.78,98,100,9.91,RU,1605340037
291,Nikolskoye,59.7,30.79,34.0,86,75,4.47,RU,1605339498
292,Longyearbyen,78.22,15.64,35.6,80,75,10.29,SJ,1605339335
293,Kumul,42.8,93.45,54.9,33,31,3.67,CN,1605339492
294,Port Macquarie,-31.43,152.92,73.0,64,0,5.1,AU,1605339574
295,Bembèrèkè,10.23,2.66,76.68,28,0,7.58,BJ,1605340038
296,Kapit,2.02,112.93,86.52,72,100,3.4,MY,1605340038
297,Huesca,42.14,-0.41,39.2,100,75,3.36,ES,1605340039
298,Gushikawa,26.35,127.87,78.8,57,75,14.99,JP,1605339536
299,Gamba,-2.65,10.0,79.32,83,100,4.03,GA,1605339552
300,Matías Romero,16.88,-95.03,71.17,93,44,6.04,MX,1605340039
301,Pisco,-13.7,-76.22,62.6,93,75,3.36,PE,1605340029
302,Bonoua,5.27,-3.6,80.6,88,40,3.36,CI,1605340040
303,Oregon City,45.36,-122.61,43.0,87,40,9.17,US,1605340040
304,Egvekinot,66.32,-179.17,5.52,90,0,10.87,RU,1605339582
305,Shahreza,32.03,51.88,46.65,56,85,5.53,IR,1605340041
306,Cedral,23.8,-100.73,60.08,56,0,10.49,MX,1605340041
307,Araouane,18.9,-3.53,73.96,20,0,10.56,ML,1605340041
308,Korem,12.51,39.52,62.38,44,0,7.87,ET,1605340041
309,Oranjemund,-28.55,16.43,62.33,78,100,4.25,NA,1605340042
310,Meridian,43.61,-116.39,39.2,64,1,10.29,US,1605340042
311,Caraz,-9.05,-77.81,59.74,54,99,1.66,PE,1605340042
312,Gold Coast,-28.0,153.43,82.0,73,21,16.11,AU,1605339783
313,Adrar,20.5,-10.07,74.1,20,42,9.69,MR,1605339563
314,Aventura,25.96,-80.14,79.0,100,1,7.2,US,1605339898
315,Belyy Yar,53.6,91.39,26.6,63,0,3.98,RU,1605339475
316,Vangaindrano,-23.35,47.6,73.36,69,88,7.81,MG,1605340043
317,Kiryat Gat,31.61,34.76,73.0,57,0,1.7,IL,1605339964
318,Kaeo,-35.1,173.78,63.0,76,24,4.0,NZ,1605339515
319,Nushki,29.55,66.02,60.69,57,100,2.64,PK,1605340044
320,Boden,65.83,21.69,41.0,93,100,10.29,SE,1605340044
321,Dīdwāna,27.4,74.57,84.52,19,0,5.17,IN,1605340044
322,Valparaíso,-33.04,-71.63,51.8,100,75,1.12,CL,1605339870
323,Aksu,41.12,80.26,51.22,35,97,0.78,CN,1605339550
324,Mackenzie,55.3,-123.17,28.4,100,90,2.24,CA,1605339526
325,Eyl,7.98,49.82,86.61,42,100,14.97,SO,1605340045
326,Storozhevaya,43.88,41.45,52.39,39,97,1.01,RU,1605340045
327,Issia,6.49,-6.59,74.64,89,64,1.43,CI,1605340046
328,Manokwari,-0.87,134.08,84.88,67,99,3.78,ID,1605339556
329,Hobyo,5.35,48.53,83.07,61,58,13.44,SO,1605339476
330,Graham,47.05,-122.29,43.0,93,90,6.93,US,1605339765
331,Doctor Juan Manuel Frutos,-25.37,-55.8,68.7,63,0,3.51,PY,1605340047
332,Rohtak,28.9,76.57,77.0,41,19,3.36,IN,1605340047
333,Elko,41.0,-115.5,34.0,72,89,32.99,US,1605340047
334,Manggar,-2.88,108.27,86.02,66,43,5.88,ID,1605340047
335,Chumikan,54.72,135.31,27.03,93,100,10.65,RU,1605340048
336,Tanete,-3.94,119.78,81.81,79,88,2.82,ID,1605340048
337,Prince Rupert,54.32,-130.32,42.8,93,90,18.34,CA,1605340048
338,Yamada,39.47,141.95,47.55,61,0,4.61,JP,1605340048
339,Namtsy,62.72,129.67,17.6,92,75,6.71,RU,1605340049
340,Touros,-5.2,-35.46,75.2,94,75,4.7,BR,1605339501
341,Grahamstown,-33.3,26.53,75.16,39,0,13.8,ZA,1605340049
342,Ankang,32.68,109.02,69.82,38,0,2.93,CN,1605339481
343,Teacapan,22.55,-105.75,69.6,84,64,3.98,MX,1605340050
344,Betsiamites,48.94,-68.65,32.0,97,90,5.82,CA,1605340050
345,Balad,34.02,44.15,74.25,24,0,8.39,IQ,1605340050
346,Chapais,49.78,-74.85,26.6,86,1,2.24,CA,1605339535
347,Tupaciguara,-18.59,-48.7,66.2,88,0,9.17,BR,1605340050
348,Jequitinhonha,-16.43,-41.0,72.79,83,100,2.68,BR,1605340051
349,Devils Lake,48.11,-98.87,28.4,86,1,18.34,US,1605340026
350,Saýat,38.78,63.88,42.8,33,0,2.24,TM,1605340051
351,Provideniya,64.38,-173.3,20.21,90,1,8.57,RU,1605339458
352,Mildura,-34.2,142.15,82.4,20,0,6.93,AU,1605340052
353,Iqaluit,63.75,-68.51,17.6,72,90,4.7,CA,1605339549
354,Okahandja,-21.98,16.92,73.99,43,0,2.24,NA,1605340052
355,Fort Nelson,58.81,-122.7,15.8,78,90,4.7,CA,1605339497
356,Grand-Santi,4.25,-54.38,72.77,97,100,1.59,GF,1605340053
357,Āsasa,7.1,39.2,65.89,44,0,8.03,ET,1605340053
358,Chicama,-7.84,-79.15,61.0,85,72,2.64,PE,1605340053
359,Bubaque,11.28,-15.83,82.09,66,0,8.39,GW,1605339512
360,Los Llanos de Aridane,28.66,-17.92,73.4,83,0,9.17,ES,1605339511
361,Changji,44.02,87.32,41.0,60,78,8.95,CN,1605340054
362,Mogadishu,2.04,45.34,84.2,66,40,9.17,SO,1605340054
363,Biga,40.23,27.24,59.0,87,75,13.87,TR,1605340054
364,Ostrovnoy,68.05,39.51,35.67,89,100,12.15,RU,1605339488
365,Pringsewu,-5.36,104.97,86.65,72,87,3.78,ID,1605339515
366,Warah,27.45,67.8,90.59,14,0,6.04,PK,1605340055
367,Honiara,-9.43,159.95,86.0,74,75,3.36,SB,1605339313
368,Zheleznodorozhnyy,55.75,38.0,36.0,81,75,2.24,RU,1605340056
369,Townsville,-19.25,146.8,84.2,58,73,9.17,AU,1605340056
370,Ponta do Sol,32.67,-17.1,69.8,83,40,13.87,PT,1605340056
371,Denpasar,-8.65,115.22,91.4,66,20,12.75,ID,1605340057
372,St. George's,12.06,-61.75,78.8,88,20,5.82,GD,1605339963
373,Shīeli,44.17,66.75,39.7,63,100,19.93,KZ,1605340057
